 Alyssa Sutherland,1576,0.26,,,
 Nick Jonas,3150,27.8,,,
 Taylor Lautner,1648,9.6,,,
 Yara Martinez,3252,0.118,,,
 Johnny Flynn,411,0.284,,,
 Jim Barone,151818,0.0293,,,
 Brendan Gleeson,1358,0.678,,,
 Jan Smithers,8233,0.0626,,,
 Cara Buono,1700,0.172,,,
 Virginia Gardner,3904,0.153,,,
 Lauren Lee Smith,2764,0.525,,,
 James Corden,2326,17.6,,,
 Penelope Ann Miller,3292,0.263,,,
 Bill Nighy,802,1.03,,,
 Taylor Sheridan,3847,0.251,,,
 Minnie Driver,1428,1.42,,,
 John C Reilly,1212,1.82,,,
 Simon Barrett,23643,0.0658,,,
 Adle Exarchopoulos,2060,0.489,,,
 Lara Pulver,755,0.228,,,
 Rachel Skarsten,1967,0.166,,,
 Sarah Lancaster,3540,0.226,,,
 Patricia Arquette,1689,2.45,,,
 Hope Davis,3728,0.261,,,
 Alexander Dreymon,54,0.0788,,,
